"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL33463";"";"None";"276.77";"0";"3.28";"60 (table 3)";"O=C(NCCc1c[nH]c2ccc(Cl)cc12)C1CCC1";"Intrinsic activity";"'='";"0.46";"";"";"";"";"";"";"";"";"";"0";"CHEMBL714101";"Relative Intrinsic activity evaluated on [35S]GTP-gamma-S, binding in NIH3T3 cells stably transfected with human Melatonin receptor type 1A";"F";"BAO_0000219";"cell-based format";"None";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136758";"1";"Scientific Literature";"J Med Chem";"2003";"CHEMBL3307716";"";"";""
"CHEMBL435586";"";"None";"378.52";"1";"5.10";"46";"CC(C)C(=O)NCCCc1cccc2nc(CCCCc3ccccc3)oc12";"Ki";"'='";"1.3";"nM";"8.89";"";"";"UO_0000065";"23.48";"0.43";"3.79";"16.12";"0";"CHEMBL713115";"Binding affinity against human Melatonin receptor type 1A by using 2-[125I]iodomelatonin as radioligand";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146812";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";""
"CHEMBL34728";"";"None";"232.28";"0";"2.20";"9";"CCC(=O)NCc1cc2c(OC)cccc2[nH]1";"G-protein activation";"'='";"113.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL714094";"Specific binding of [35S]GTP-gamma-S, to the alpha subunit of the G-protein-coupled Melatonin receptor type 1A was measured; expressed as % G-protein activation.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131096";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";""
"CHEMBL10878";"AGOMELATINE";"4.0";"243.31";"0";"2.53";"2";"COc1ccc2cccc(CCNC(C)=O)c2c1";"Kb";"'='";"";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL714102";"Antagonist potency against effect of melatonin (30 nM) determined by [35S]GTP gamma-S binding assay using CHO cell lines for Melatonin receptor type 1A";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136735";"1";"Scientific Literature";"J Med Chem";"2003";"CHEMBL3308072";"";"";""
"CHEMBL343825";"";"None";"260.34";"0";"1.73";"11 (S-isomer)";"CCC(=O)N[C@H]1CCN(c2cccc3c2CCO3)C1";"Ki";"'='";"0.18";"nM";"9.74";"";"";"UO_0000065";"37.43";"0.70";"8.01";"23.44";"0";"CHEMBL715946";"Binding affinity against human MT1 melatonin receptor expressed in NIH3T3 cells.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136485";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"CHEMBL3307716";"";"";""
"CHEMBL45";"MELATONIN";"4.0";"232.28";"0";"1.86";"MLT";"COc1ccc2[nH]cc(CCNC(C)=O)c2c1";"Emax";"'='";"100.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL710855";"Efficacy of [35S]GTP-gamma-S, binding to Melatonin receptor type 1A expressed in Chinese hamster ovarian (CHO) cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135482";"1";"Scientific Literature";"J Med Chem";"2002";"CHEMBL3308072";"";"";""
"CHEMBL314947";"";"None";"391.39";"0";"4.73";"10f";"COc1ccc2oc(Cc3cccc(C(F)(F)F)c3)c(CCNC(C)=O)c2c1";"Emax";"'<'";"10.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL710855";"Efficacy of [35S]GTP-gamma-S, binding to Melatonin receptor type 1A expressed in Chinese hamster ovarian (CHO) cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135482";"1";"Scientific Literature";"J Med Chem";"2002";"CHEMBL3308072";"";"";""
"CHEMBL237840";"";"None";"254.33";"0";"2.96";"3f";"CC(=O)NCCN(c1ccccc1)c1ccccc1";"Intrinsic activity";"'='";"0.1";"";"";"";"";"";"";"";"";"";"0";"CHEMBL903005";"Intrinsic activity at human cloned MT1 receptor expressed in rat NIH3T3 cells after 30 mins by [35S]GTP-gamma-S binding assay relative to melatonin";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138357";"1";"Scientific Literature";"J Med Chem";"2007";"CHEMBL3307716";"";"";""
"CHEMBL123119";"";"None";"344.50";"0";"2.67";"NAS";"CCCCC(=O)n1c(OC)cc2c1=C(CN)C1CCCCC(C)C1C=2";"Ki";"'='";"489.78";"nM";"6.31";"";"";"UO_0000065";"18.32";"0.34";"3.64";"11.02";"0";"CHEMBL715956";"Binding affinity was measured against cloned human Melatonin receptor type 1A subtype stably expressed in rat fibroblasts NIH3T3 cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131096";"1";"Scientific Literature";"J Med Chem";"1998";"CHEMBL3307716";"";"";""
"CHEMBL237840";"";"None";"254.33";"0";"2.96";"3f";"CC(=O)NCCN(c1ccccc1)c1ccccc1";"Ki";"'='";"125.89";"nM";"6.90";"";"";"UO_0000065";"27.13";"0.50";"3.94";"21.34";"0";"CHEMBL903003";"Displacement of 2-[125I]iodomelatonin from human cloned MT1 receptor expressed in rat NIH3T3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138357";"1";"Scientific Literature";"J Med Chem";"2007";"CHEMBL3307716";"";"";""
